id,title,neighborhood,type,price_per_night,price_total_xaf,rating,reviews,occupancy_rate,monthly_revenue,superhost,source,scraped_at
DLA-0312,Chambre privee - New Bell,New Bell,Chambre privee,18000.0,,3.91,163,0.58,313200,True,simulated,2026-06-08T22:46:06.060541
DLA-0313,Chambre privee - Bali,Bali,Chambre privee,36500.0,,4.09,144,0.77,843150,False,simulated,2026-06-08T22:46:06.060551
DLA-0314,Appartement entier - New Bell,New Bell,Appartement entier,16500.0,,4.59,56,0.71,351450,True,simulated,2026-06-08T22:46:06.060562
DLA-0315,Appartement entier - Akwa,Akwa,Appartement entier,21500.0,,4.15,71,0.5,322500,True,simulated,2026-06-08T22:46:06.060571
DLA-0316,Chambre privee - Bonanjo,Bonanjo,Chambre privee,40500.0,,4.34,116,0.67,814050,False,simulated,2026-06-08T22:46:06.060582
DLA-0317,Appartement entier - Deido,Deido,Appartement entier,16500.0,,4.4,120,0.49,242550,False,simulated,2026-06-08T22:46:06.060593
DLA-0318,Chambre privee - Logbessou,Logbessou,Chambre privee,22500.0,,4.23,43,0.48,324000,False,simulated,2026-06-08T22:46:06.060602
DLA-0319,Chambre privee - Makepe,Makepe,Chambre privee,21500.0,,4.21,198,0.83,535350,False,simulated,2026-06-08T22:46:06.060611
DLA-0320,Appartement entier - Bali,Bali,Appartement entier,39000.0,,4.86,158,0.84,982800,False,simulated,2026-06-08T22:46:06.060620
DLA-0321,Appartement entier - Logbessou,Logbessou,Appartement entier,21000.0,,4.96,35,0.73,459900,False,simulated,2026-06-08T22:46:06.060629
DLA-0322,Appartement entier - Deido,Deido,Appartement entier,13000.0,,4.06,163,0.66,257400,False,simulated,2026-06-08T22:46:06.060638
DLA-0323,Appartement entier - Makepe,Makepe,Appartement entier,21000.0,,4.93,131,0.49,308700,True,simulated,2026-06-08T22:46:06.060648
DLA-0324,Appartement entier - Logbessou,Logbessou,Appartement entier,31500.0,,3.94,41,0.84,793800,False,simulated,2026-06-08T22:46:06.060657
DLA-0325,Appartement entier - Akwa,Akwa,Appartement entier,28500.0,,4.5,152,0.58,495900,True,simulated,2026-06-08T22:46:06.060666
DLA-0326,Appartement entier - Logbessou,Logbessou,Appartement entier,28500.0,,4.47,19,0.61,521550,False,simulated,2026-06-08T22:46:06.060677
DLA-0327,Appartement entier - Bonanjo,Bonanjo,Appartement entier,47500.0,,4.11,44,0.78,1111500,False,simulated,2026-06-08T22:46:06.060686
DLA-0328,Appartement entier - Bonapriso,Bonapriso,Appartement entier,32500.0,,4.3,199,0.78,760500,False,simulated,2026-06-08T22:46:06.060696
DLA-0329,Chambre privee - Bonapriso,Bonapriso,Chambre privee,39500.0,,4.17,53,0.48,568800,False,simulated,2026-06-08T22:46:06.060706
DLA-0330,Appartement entier - Makepe,Makepe,Appartement entier,27500.0,,4.85,81,0.63,519750,False,simulated,2026-06-08T22:46:06.060716
DLA-0331,Studio - Deido,Deido,Studio,10500.0,,4.72,7,0.83,261450,True,simulated,2026-06-08T22:46:06.060725
DLA-0332,Chambre privee - New Bell,New Bell,Chambre privee,10500.0,,4.11,89,0.7,220500,False,simulated,2026-06-08T22:46:06.060737
DLA-0333,Appartement entier - Bonanjo,Bonanjo,Appartement entier,60500.0,,3.96,119,0.74,1343100,True,simulated,2026-06-08T22:46:06.060746
DLA-0334,Chambre privee - Logbessou,Logbessou,Chambre privee,20000.0,,4.85,77,0.81,486000,False,simulated,2026-06-08T22:46:06.060756
DLA-0335,Appartement entier - Makepe,Makepe,Appartement entier,27000.0,,4.21,66,0.52,421200,False,simulated,2026-06-08T22:46:06.060765
DLA-0336,Chambre privee - Bali,Bali,Chambre privee,40000.0,,3.94,42,0.6,720000,True,simulated,2026-06-08T22:46:06.060777
DLA-0337,Appartement entier - Makepe,Makepe,Appartement entier,23500.0,,4.4,102,0.69,486450,False,simulated,2026-06-08T22:46:06.060787
DLA-0338,Appartement entier - Bonanjo,Bonanjo,Appartement entier,59500.0,,4.19,89,0.6,1071000,True,simulated,2026-06-08T22:46:06.060797
DLA-0339,Appartement entier - Bonapriso,Bonapriso,Appartement entier,43000.0,,3.89,27,0.63,812700,False,simulated,2026-06-08T22:46:06.060807
DLA-0340,Chambre privee - Akwa,Akwa,Chambre privee,36500.0,,4.17,85,0.8,876000,False,simulated,2026-06-08T22:46:06.060817
DLA-0341,Appartement entier - Deido,Deido,Appartement entier,13500.0,,4.4,179,0.78,315900,False,simulated,2026-06-08T22:46:06.060829
DLA-0342,Studio - Bonapriso,Bonapriso,Studio,35000.0,,4.74,38,0.7,735000,False,simulated,2026-06-08T22:46:06.060840
DLA-0343,Appartement entier - Bali,Bali,Appartement entier,50000.0,,4.42,197,0.76,1140000,False,simulated,2026-06-08T22:46:06.060851
DLA-0344,Chambre privee - Bonapriso,Bonapriso,Chambre privee,43500.0,,4.68,69,0.53,691650,False,simulated,2026-06-08T22:46:06.060860
DLA-0345,Chambre privee - Bonanjo,Bonanjo,Chambre privee,59000.0,,3.94,21,0.82,1451400,True,simulated,2026-06-08T22:46:06.060870
DLA-0346,Studio - Bonapriso,Bonapriso,Studio,38000.0,,5.0,87,0.68,775200,False,simulated,2026-06-08T22:46:06.060881
DLA-0347,Chambre privee - Bali,Bali,Chambre privee,31000.0,,4.24,9,0.55,511500,False,simulated,2026-06-08T22:46:06.060890
